duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,predictions,connection_key
0.006945,585,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_33094_192.168.65.7_2376
0.005894,959,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_33094
0.007849,481,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_34945_192.168.65.7_2376
0.005941,1382,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_34945
0.005823,473,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_21859_192.168.65.7_2376
0.005541,473,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_29257_192.168.65.7_2376
0.004675,1988,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_21859
0.004073,1151,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_29257
58.004605,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_59823
58.004318,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_59823_192.168.65.7_2376
0.003486,414,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_29579_192.168.65.7_2376
0.003006,513,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_29579
2.065198,536,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_32602_192.168.65.7_2376
2.063985,486,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_32602
0.02841,487,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_42122_192.168.65.7_2376
0.027894,8026,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_42122
1.012509,560,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_30956_192.168.65.7_2376
1.012055,2355,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_30956
2.022449,560,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_60578_192.168.65.7_2376
2.021339,2515,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_60578
2.01111,560,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_16456_192.168.65.7_2376
2.009963,2503,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_16456
0.770541,543,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_55868_192.168.65.7_2376
0.769406,6389,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_55868
57.995155,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_30333
57.995164,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_49116
57.993064,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_30333_192.168.65.7_2376
57.992988,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_49116_192.168.65.7_2376
57.987502,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_17273
57.986502,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_54046
57.98788,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_17273_192.168.65.7_2376
57.987571,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_54046_192.168.65.7_2376
57.997014,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_53688
57.99681,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_53688_192.168.65.7_2376
0.036775,484,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_65354_192.168.65.7_2376
0.03619,8026,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_65354
46.663096,1639,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_26407
46.663637,1639,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_47279
46.662985,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_47279_192.168.65.7_2376
46.662923,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_26407_192.168.65.7_2376
46.637962,1639,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_36176
46.637344,260,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_36176_192.168.65.7_2376
0.004741,414,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.1_41425_192.168.65.7_2376
0.004016,513,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,192.168.65.7_2376_192.168.65.1_41425
